gene_id,gene_name,gene_biotype,gene_description,tf_family,ensembl_gene_stable_id,ensembl_gene_name,refseq_mrna_id,annotation_source,annotation_release,mapping_status
Solyc06g083070,Solyc06g083070.3,protein_coding,Fimbrin-2 (AHRD V3.3 *** A0A2G2WN11_CAPBA) && sp|O50064|FIMB2_ARATH Fimbrin-2 OS=Arabidopsis thaliana OX=3702 GN=FIM2 PE=2 SV=1 && PF00307:Calponin homology (CH) domain,CH,gene-Solyc06g083070.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g026240,Solyc05g026240.3,protein_coding,Leucine-rich repeat receptor-like protein kinase family (AHRD V3.3 *** A0A0K9Q1P6_ZOSMR) && sp|Q9LJ64|PLRX1_ARATH Pollen-specific leucine-rich repeat extensin-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=PEX1 PE=1 SV=1 && PF08263:Leucine rich repeat N-terminal domain|PF13855:Leucine rich repeat,LRRNT_2,gene-Solyc05g026240.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g051120,Solyc10g051120.3,protein_coding,Mitochondrial pyruvate carrier (AHRD V3.3 *** A0A2G2WMA1_CAPBA) && sp|Q949R9|MPC1_ARATH Mitochondrial pyruvate carrier 1 OS=Arabidopsis thaliana OX=3702 GN=MPC1 PE=3 SV=1 && PF03650:Mitochondrial pyruvate carriers,-,gene-Solyc10g051120.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g080680,Solyc01g080680.4,protein_coding,Sugar transporter ERD6 (AHRD V3.11 *** tr_A0A0M8KTC8_A0A0M8KTC8_NICAT) && sp|Q8LBI9|EDL16_ARATH Sugar transporter ERD6-like 16 OS=Arabidopsis thaliana OX=3702 GN=At5g18840 PE=2 SV=2 && PF00083:Sugar (and other) transporter,Sugar_tr,gene-Solyc01g080680.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g065350,Solyc02g065350.3,protein_coding,B3 domain-containing protein (AHRD V3.3 *** A0A1Q3D977_CEPFO) && sp|Q2R9D2|Y1176_ORYSJ B3 domain-containing protein Os11g0197600 OS=Oryza sativa subsp. japonica OX=39947 GN=Os11g0197600 PE=2 SV=1 && PF02362:B3 DNA binding domain,B3,gene-Solyc02g065350.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g071570,Solyc03g071570.3,protein_coding,Pectate lyase (AHRD V3.3 *** A0A2G2X594_CAPBA) && sp|Q9SCP2|PLY12_ARATH Probable pectate lyase 12 OS=Arabidopsis thaliana OX=3702 GN=At3g53190 PE=2 SV=2 && PF00544:Pectate lyase,-,gene-Solyc03g071570.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g012510,Solyc05g012510.3,protein_coding,"Alpha-1 && sp|P53535|PHSL2_SOLTU Alpha-1,4 glucan phosphorylase L-2 isozyme, chloroplastic/amyloplastic OS=Solanum tuberosum OX=4113 GN=STP-1 PE=1 SV=1 && PF00343:Carbohydrate phosphorylase",-,gene-Solyc05g012510.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc09g066060,Solyc09g066060.4,protein_coding,homeobox-leucine zipper protein ROC8 (AHRD V3.11 *** tr_A0A2I4EBE3_A0A2I4EBE3_9ROSI) && sp|Q9M9P4|HDG8_ARATH Homeobox-leucine zipper protein HDG8 OS=Arabidopsis thaliana OX=3702 GN=HDG8 PE=2 SV=2 && PF01852:START domain|PF00046:Homeodomain,START,gene-Solyc09g066060.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g065280,Solyc02g065280.3,protein_coding,Methylesterase 1 (AHRD V3.3 *** A0A2G3D300_CAPCH) && sp|Q6RYA0|SABP2_TOBAC Salicylic acid-binding protein 2 OS=Nicotiana tabacum OX=4097 GN=SABP2 PE=1 SV=1 && PF12697:Alpha/beta hydrolase family,-,gene-Solyc02g065280.3,,NM_001366911,Ensembl Plants BioMart,63,one_to_one
Solyc03g112760,Solyc03g112760.3,protein_coding,transmembrane protein (AHRD V3.3 *** AT3G48200.1) && - && -,-,gene-Solyc03g112760.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc04g064620,Solyc04g064620.4,protein_coding,Bidirectional sugar transporter SWEET (AHRD V3.3 *** M1CBD4_SOLTU) && sp|Q8L9J7|SWET1_ARATH Bidirectional sugar transporter SWEET1 OS=Arabidopsis thaliana OX=3702 GN=SWEET1 PE=1 SV=1 && PF03083:Sugar efflux transporter for intercellular exchange,-,gene-Solyc04g064620.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g058270,Solyc01g058270.3,protein_coding,O-acetyltransferase family protein (AHRD V3.3 *** A0A2U1M4H7_ARTAN) && sp|Q0WW17|RWA2_ARATH Protein REDUCED WALL ACETYLATION 2 OS=Arabidopsis thaliana OX=3702 GN=RWA2 PE=1 SV=1 && PF07779:10 TM Acyl Transferase domain found in Cas1p,-,gene-Solyc01g058270.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g018510,Solyc05g018510.3,protein_coding,ABC transporter-like (AHRD V3.3 *** A0A200PN89_9MAGN) && sp|O81016|AB32G_ARATH ABC transporter G family member 32 OS=Arabidopsis thaliana OX=3702 GN=ABCG32 PE=1 SV=1 && PF00005:ABC transporter|PF14510:ABC-transporter N-terminal|PF08370:Plant PDR ABC transporter associated|PF01061:ABC-2 type transporter,ABC2_membrane,gene-Solyc05g018510.3,ABCG36,,Ensembl Plants BioMart,63,one_to_one
Solyc10g024420,Solyc10g024420.3,protein_coding,ABC transporter C family member 9 (AHRD V3.3 *** A0A2G2VSW8_CAPBA) && sp|Q9M1C7|AB9C_ARATH ABC transporter C family member 9 OS=Arabidopsis thaliana OX=3702 GN=ABCC9 PE=2 SV=2 && PF00005:ABC transporter|PF00664:ABC transporter transmembrane region,ABC_membrane,gene-Solyc10g024420.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g009930,Solyc12g009930.3,protein_coding,Glycosyltransferase (AHRD V3.3 *** A0A288W8G2_GARJA) && sp|P56725|ZOX_PHAVU Zeatin O-xylosyltransferase OS=Phaseolus vulgaris OX=3885 GN=ZOX1 PE=2 SV=1 && PF00201:UDP-glucoronosyl and UDP-glucosyl transferase,UDPGT,gene-Solyc12g009930.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g063150,Solyc02g063150.3,protein_coding,"RuBP carboxylase small subunit && sp|P08706|RBS1_SOLLC Ribulose bisphosphate carboxylase small subunit, chloroplastic 1 OS=Solanum lycopersicum OX=4081 GN=RBCS1 PE=2 SV=2 && PF12338:Ribulose-1,5-bisphosphate carboxylase small subunit|PF00101:Ribulose bisphosphate carboxylase, small chain",-,gene-Solyc02g063150.3,rbcS1,NM_001308943,Ensembl Plants BioMart,63,one_to_one
Solyc02g092220,Solyc02g092220.1,protein_coding,Unknown protein && - && -,-,gene-Solyc02g092220.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g067030,Solyc08g067030.3,protein_coding,DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BRG3_CEPFO) && - && PF04862:Protein of unknown function (DUF642),-,gene-Solyc08g067030.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g113350,Solyc03g113350.3,protein_coding,Zinc finger protein (AHRD V3.3 *** A0A200QF78_9MAGN) && sp|F4HVS0|BTSL2_ARATH Zinc finger protein BRUTUS-like At1g74770 OS=Arabidopsis thaliana OX=3702 GN=At1g74770 PE=2 SV=1 && PF05495:CHY zinc finger|PF14599:Zinc-ribbon|PF01814:Hemerythrin HHE cation binding domain|PF13639:Ring finger domain,zf-CHY,gene-Solyc03g113350.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc07g054860,Solyc07g054860.1,protein_coding,Tyrosine/DOPA decarboxylase 3 (AHRD V3.3 *** A0A2G2Z3G9_CAPAN) && sp|P93082|TDC1_CAMAC Tryptophan decarboxylase TDC1 OS=Camptotheca acuminata OX=16922 GN=TDC1 PE=1 SV=1 && PF00282:Pyridoxal-dependent decarboxylase conserved domain,-,gene-Solyc07g054860.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g038740,Solyc02g038740.4,protein_coding,3-hydroxy-3-methylglutaryl coenzyme A reductase (AHRD V3.3 *** A0A2G2XB84_CAPBA) && sp|P48022|HMDH2_SOLLC 3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Solanum lycopersicum OX=4081 GN=HMG2 PE=3 SV=1 && PF00368:Hydroxymethylglutaryl-coenzyme A reductase,-,gene-Solyc02g038740.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g107890,Solyc01g107890.3,protein_coding,"Filament-like plant protein 7 (AHRD V3.3 *** A0A314KPZ1_NICAT) && sp|Q9SLN1|FPP7_ARATH Filament-like plant protein 7 OS=Arabidopsis thaliana OX=3702 GN=FPP7 PE=3 SV=2 && PF05911:Filament-like plant protein, long coiled-coil",-,gene-Solyc01g107890.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g015690,,,,,gene-Solyc12g015690.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc06g048470,Solyc06g048470.4,protein_coding,COP1-Interacting protein-related (AHRD V3.3 *** A0A2R4QNN9_9POAL) && sp|O80386|CIP7_ARATH COP1-interacting protein 7 OS=Arabidopsis thaliana OX=3702 GN=CIP7 PE=1 SV=1 && -,-,gene-Solyc06g048470.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g006760,Solyc03g006760.4,protein_coding,NBS-LRR resistance protein (AHRD V3.3 *** A0A2K3PMF0_TRIPR) && - && -,-,gene-Solyc03g006760.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g006470,Solyc12g006470.2,protein_coding,viroid RNA-binding protein && sp|Q84P53|GATP2_SOLLC Gamma aminobutyrate transaminase 2 OS=Solanum lycopersicum OX=4081 GN=GABA-TP2 PE=1 SV=1 && PF00202:Aminotransferase class-III,Aminotran_3,gene-Solyc12g006470.2,GABA-TP2,NM_001247411,Ensembl Plants BioMart,63,one_to_one
Solyc01g006540,Solyc01g006540.4,protein_coding,"lipoxygenase C && sp|O24370|LOX21_SOLTU Linoleate 13S-lipoxygenase 2-1, chloroplastic OS=Solanum tuberosum OX=4113 GN=LOX2.1 PE=1 SV=1 && PF00305:Lipoxygenase",Lipoxygenase,gene-Solyc01g006540.4,loxC,NM_001246883,Ensembl Plants BioMart,63,one_to_one
Solyc03g113930,Solyc03g113930.3,protein_coding,22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) && sp|P30236|HSP41_SOYBN 22.0 kDa class IV heat shock protein OS=Glycine max OX=3847 GN=HSP22.0 PE=3 SV=1 && PF00011:Hsp20/alpha crystallin family,-,gene-Solyc03g113930.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g118120,Solyc03g118120.3,protein_coding,Transferring glycosyl group transferase (AHRD V3.3 *** A0A2K3L539_TRIPR) && sp|Q67YC9|Y4141_ARATH Uncharacterized protein At4g14100 OS=Arabidopsis thaliana OX=3702 GN=At4g14100 PE=2 SV=1 && -,-,gene-Solyc03g118120.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g078340,Solyc02g078340.4,protein_coding,Heat stress transcription factor B-2b (AHRD V3.3 *** A0A2G3D674_CAPCH) && sp|Q10KX8|HFB4D_ORYSJ Heat stress transcription factor B-4d OS=Oryza sativa subsp. japonica OX=39947 GN=HSFB4D PE=3 SV=1 && PF00447:HSF-type DNA-binding,HSF_DNA-bind,gene-Solyc02g078340.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g047030,Solyc10g047030.3,protein_coding,LEXYL1 && sp|A5JTQ3|XYL2_MEDSV Beta-xylosidase/alpha-L-arabinofuranosidase 2 OS=Medicago sativa subsp. varia OX=36902 GN=Xyl2 PE=2 SV=1 && PF00933:Glycosyl hydrolase family 3 N terminal domain|PF14310:Fibronectin type III-like domain|PF01915:Glycosyl hydrolase family 3 C-terminal domain,Glyco_hydro_3_C,gene-Solyc10g047030.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g013710,Solyc12g013710.2,protein_coding,"light dependent NADH_protochlorophyllide oxidoreductase 1 && sp|Q9SDT1|POR_DAUCA Protochlorophyllide reductase, chloroplastic OS=Daucus carota OX=4039 GN=POR1 PE=2 SV=1 && PF00106:short chain dehydrogenase",adh_short,gene-Solyc12g013710.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g080630,Solyc08g080630.4,protein_coding,Ethylene-responsive proteinase inhibitor 1 (AHRD V3.3 *** A0A1U8G7N9_CAPAN) && sp|P20076|IER1_SOLLC Ethylene-responsive proteinase inhibitor 1 OS=Solanum lycopersicum OX=4081 PE=3 SV=1 && PF00280:Potato inhibitor I family,-,gene-Solyc08g080630.4,ER1,,Ensembl Plants BioMart,63,one_to_one
Solyc06g009770,Solyc06g009770.1,protein_coding,hypothetical protein (AHRD V3.3 *** AT3G62650.2) && - && -,-,gene-Solyc06g009770.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g016310,Solyc08g016310.3,protein_coding,LOW QUALITY PROTEIN_ LRR receptor-like serine/threonine-protein kinase GSO1 (AHRD V3.3 *** A0A1U8F7A0_CAPAN) && sp|Q9LNV9|RLP1_ARATH Receptor-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=RLP1 PE=2 SV=2 && PF13855:Leucine rich repeat,-,gene-Solyc08g016310.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g015370,Solyc05g015370.3,protein_coding,DNA-binding HORMA (AHRD V3.3 *-* A0A200QG98_9MAGN) && sp|F4HRV8|ASY1_ARATH Meiosis-specific protein ASY1 OS=Arabidopsis thaliana OX=3702 GN=ASY1 PE=1 SV=1 && PF02301:HORMA domain,HORMA,gene-Solyc05g015370.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g097290,Solyc01g097290.4,protein_coding,auxin-regulated IAA16 && sp|O24407|IAA16_ARATH Auxin-responsive protein IAA16 OS=Arabidopsis thaliana OX=3702 GN=IAA16 PE=1 SV=1 && PF02309:AUX/IAA family,-,gene-Solyc01g097290.4,IAA16,,Ensembl Plants BioMart,63,one_to_one
Solyc09g031880,Solyc09g031880.3,protein_coding,Galacturonokinase (AHRD V3.3 *** A0A2G2WB90_CAPBA) && sp|Q8VYG2|GALAK_ARATH Galacturonokinase OS=Arabidopsis thaliana OX=3702 GN=GALAK PE=1 SV=1 && -,-,gene-Solyc09g031880.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g088400,Solyc01g088400.4,protein_coding,ECERIFERUM 1 && sp|F4HVY0|CER1_ARATH Very-long-chain aldehyde decarbonylase CER1 OS=Arabidopsis thaliana OX=3702 GN=CER1 PE=1 SV=1 && PF12076:WAX2 C-terminal domain|PF04116:Fatty acid hydroxylase superfamily,-,gene-Solyc01g088400.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g070080,,,,,,,,Ensembl Plants BioMart,63,not_mapped_in_export
Solyc10g083670,Solyc10g083670.3,protein_coding,Glucomannan 4-beta-mannosyltransferase 2 (AHRD V3.3 *** A0A2G3BGF1_CAPCH) && sp|Q9LZR3|CSLA9_ARATH Glucomannan 4-beta-mannosyltransferase 9 OS=Arabidopsis thaliana OX=3702 GN=CSLA9 PE=1 SV=1 && PF13641:Glycosyltransferase like family 2,-,gene-Solyc10g083670.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g082620,Solyc08g082620.3,protein_coding,"3-oxoacyl-[acyl-carrier-protein] synthase (AHRD V3.3 *** O82520_CAPCH) && sp|P52410|KASC1_ARATH 3-oxoacyl-[acyl-carrier-protein] synthase I, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KAS1 PE=1 SV=2 && PF00109:Beta-ketoacyl synthase, N-terminal domain|PF02801:Beta-ketoacyl synthase, C-terminal domain",ketoacyl-synt,gene-Solyc08g082620.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g010050,Solyc12g010050.2,protein_coding,DNA-3-methyladenine glycosylase I (AHRD V3.3 *** A0A2I0WS59_9ASPA) && sp|Q7VG78|GUAA_HELHP Probable GMP synthase [glutamine-hydrolyzing] OS=Helicobacter hepaticus (strain ATCC 51449 / 3B1) OX=235279 GN=guaA PE=3 SV=1 && PF03352:Methyladenine glycosylase,-,gene-Solyc12g010050.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g031860,Solyc03g031860.3,protein_coding,"Phytoene synthase 1 && sp|P08196|PSY1_SOLLC Phytoene synthase 1, chloroplastic OS=Solanum lycopersicum OX=4081 GN=PSY1 PE=1 SV=2 && PF00494:Squalene/phytoene synthase",-,,,,Ensembl Plants BioMart,63,not_mapped_in_export
Solyc04g016330,Solyc04g016330.3,protein_coding,"Glycerol-3-phosphate dehydrogenase [NAD(+)] (AHRD V3.3 *** A0A2G3CDF8_CAPCH) && sp|Q8S0G4|GPDH1_ORYSJ Probable glycerol-3-phosphate dehydrogenase [NAD(+)] 1, cytosolic OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0939600 PE=2 SV=1 && PF01210:NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus|PF07479:NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus",NAD_Gly3P_dh_C,gene-Solyc04g016330.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc07g055050,Solyc07g055050.3,protein_coding,"ATP synthase protein I-related protein (AHRD V3.3 *** A0A2U1Q771_ARTAN) && sp|O82279|CG160_ARATH Protein CONSERVED ONLY IN THE GREEN LINEAGE 160, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CGL160 PE=1 SV=1 && -",-,gene-Solyc07g055050.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc06g053620,Solyc06g053620.5,protein_coding,Phosphoenolpyruvate carboxylase kinase 2 (AHRD V3.11 *** tr_Q84JP7_Q84JP7_SOLLC) && sp|Q9SPK4|PPCK1_ARATH Phosphoenolpyruvate carboxylase kinase 1 OS=Arabidopsis thaliana OX=3702 GN=PPCK1 PE=1 SV=1 && PF00069:Protein kinase domain,Pkinase,gene-Solyc06g053620.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g094640,Solyc12g094640.4,protein_coding,"Glyceraldehyde-3-phosphate dehydrogenase (AHRD V3.11 *** tr_A0A2G2YA75_A0A2G2YA75_CAPAN) && sp|P12859|G3PB_PEA Glyceraldehyde-3-phosphate dehydrogenase B, chloroplastic OS=Pisum sativum OX=3888 GN=GAPB PE=1 SV=2 && PF00044:Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain|PF02800:Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain",-,gene-Solyc12g094640.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g078440,Solyc03g078440.3,protein_coding,Cinnamyl alcohol dehydrogenase (AHRD V3.3 *** C1IC54_GOSHI) && sp|P42734|CADH9_ARATH Probable cinnamyl alcohol dehydrogenase 9 OS=Arabidopsis thaliana OX=3702 GN=CAD9 PE=2 SV=2 && PF00107:Zinc-binding dehydrogenase|PF08240:Alcohol dehydrogenase GroES-like domain,ADH_N,gene-Solyc03g078440.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g010700,Solyc05g010700.1,protein_coding,Unknown protein && sp|Q9C9B0|U89B1_ARATH Flavonol 3-O-glucosyltransferase UGT89B1 OS=Arabidopsis thaliana OX=3702 GN=UGT89B1 PE=1 SV=2 && -,-,gene-Solyc05g010700.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc06g069430,Solyc06g069430.3,protein_coding,FRUITFULL-like MADS-box 1 && sp|Q42429|AGL8_SOLTU Agamous-like MADS-box protein AGL8 homolog OS=Solanum tuberosum OX=4113 PE=2 SV=1 && PF01486:K-box region|PF00319:SRF-type transcription factor (DNA-binding and dimerisation domain),K-box,gene-Solyc06g069430.3,FUL1,,Ensembl Plants BioMart,63,one_to_one
Solyc06g035610,Solyc06g035610.3,protein_coding,"RNA-binding protein (AHRD V3.3 *-* Q941H9_TOBAC) && sp|Q9FIU6|ORRM2_ARATH Organelle RRM domain-containing protein 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ORRM2 PE=1 SV=1 && PF00076:RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",RRM_1,gene-Solyc06g035610.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g080980,Solyc10g080980.2,protein_coding,WAT1-related protein (AHRD V3.3 *** K4D2Y5_SOLLC) && sp|Q9FL41|WTR38_ARATH WAT1-related protein At5g07050 OS=Arabidopsis thaliana OX=3702 GN=At5g07050 PE=2 SV=1 && PF00892:EamA-like transporter family,DUF6,gene-Solyc10g080980.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc07g065540,Solyc07g065540.1,protein_coding,Fasciclin-like arabinogalactan protein (AHRD V3.3 *** A0A2R6P548_ACTCH) && sp|Q9FM65|FLA1_ARATH Fasciclin-like arabinogalactan protein 1 OS=Arabidopsis thaliana OX=3702 GN=FLA1 PE=1 SV=1 && PF02469:Fasciclin domain,-,gene-Solyc07g065540.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc04g054990,,,,,,,,Ensembl Plants BioMart,63,not_mapped_in_export
Solyc01g094700,Solyc01g094700.5,protein_coding,Glycerol-3-phosphate acyltransferase && sp|Q9LMM0|GPAT4_ARATH Glycerol-3-phosphate 2-O-acyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=GPAT4 PE=1 SV=1 && PF12710:haloacid dehalogenase-like hydrolase|PF01553:Acyltransferase,Acyltransferase,gene-Solyc01g094700.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g070790,Solyc02g070790.3,protein_coding,"3-oxoacyl-[acyl-carrier-protein] synthase (AHRD V3.3 *** A0A2I4EJY8_9ROSI) && sp|P52410|KASC1_ARATH 3-oxoacyl-[acyl-carrier-protein] synthase I, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KAS1 PE=1 SV=2 && PF02801:Beta-ketoacyl synthase, C-terminal domain|PF00109:Beta-ketoacyl synthase, N-terminal domain",ketoacyl-synt,gene-Solyc02g070790.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g051020,Solyc10g051020.2,protein_coding,Cytochrome P450 (AHRD V3.3 *** A0A2U1MAN7_ARTAN) && sp|H2DH21|C7A29_PANGI Cytochrome P450 CYP72A219 OS=Panax ginseng OX=4054 PE=2 SV=1 && PF00067:Cytochrome P450,p450,gene-Solyc10g051020.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g118510,Solyc03g118510.3,protein_coding,Ovary receptor kinase 27 (AHRD V3.3 *** S4WIQ7_SOLCH) && sp|Q9LP77|Y1848_ARATH Probable inactive receptor kinase At1g48480 OS=Arabidopsis thaliana OX=3702 GN=RKL1 PE=1 SV=1 && PF08263:Leucine rich repeat N-terminal domain|PF00069:Protein kinase domain|PF13855:Leucine rich repeat,Pkinase,gene-Solyc03g118510.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc07g049440,Solyc07g049440.3,protein_coding,GDSL esterase/lipase (AHRD V3.3 *** A0A2G2Z2Z1_CAPAN) && sp|Q9SJB4|GDL34_ARATH GDSL esterase/lipase At2g04570 OS=Arabidopsis thaliana OX=3702 GN=At2g04570 PE=2 SV=1 && PF00657:GDSL-like Lipase/Acylhydrolase,Lipase_GDSL,gene-Solyc07g049440.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc09g083130,Solyc09g083130.3,protein_coding,Acylamino-acid-releasing enzyme (AHRD V3.3 *** A0A1J3E2A0_NOCCA) && sp|Q84LM4|AARE_ARATH Acylamino-acid-releasing enzyme OS=Arabidopsis thaliana OX=3702 GN=AARE PE=1 SV=1 && PF00326:Prolyl oligopeptidase family,-,gene-Solyc09g083130.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g075070,Solyc10g075070.3,protein_coding,Non-specific lipid-transfer protein (AHRD V3.3 *** K4D1U9_SOLLC) && sp|Q03461|NLTP2_TOBAC Non-specific lipid-transfer protein 2 OS=Nicotiana tabacum OX=4097 PE=3 SV=1 && PF00234:Protease inhibitor/seed storage/LTP family,-,gene-Solyc10g075070.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g097440,Solyc03g097440.3,protein_coding,11-beta-hydroxysteroid dehydrogenase 1A (AHRD V3.3 *** A0A2G3A0G7_CAPAN) && sp|Q93W57|HSDA_SESIN 11-beta-hydroxysteroid dehydrogenase A OS=Sesamum indicum OX=4182 GN=SOP2 PE=1 SV=1 && PF00106:short chain dehydrogenase,adh_short,gene-Solyc03g097440.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g079490,Solyc02g079490.3,protein_coding,HXXXD-type acyl-transferase family protein (AHRD V3.3 *** Q9MAP9_ARATH) && sp|A1XWY7|CFAT_PETHY Coniferyl alcohol acyltransferase OS=Petunia hybrida OX=4102 GN=CFAT PE=1 SV=1 && PF02458:Transferase family,-,gene-Solyc02g079490.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g014010,Solyc08g014010.4,protein_coding,Transmembrane protein (AHRD V3.3 *** Q1PDF2_ARATH) && - && -,-,gene-Solyc08g014010.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g054080,Solyc10g054080.3,protein_coding,"Kinesin-related protein 11 (AHRD V3.3 *** A0A2G3BDZ7_CAPCH) && sp|Q8W5R5|KN7D_ARATH Kinesin-like protein KIN-7D, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=KIN7D PE=2 SV=1 && PF13920:Zinc finger, C3HC4 type (RING finger)|PF00225:Kinesin motor domain",Kinesin,gene-Solyc10g054080.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g014300,Solyc05g014300.1,protein_coding,Unknown protein && - && -,-,gene-Solyc05g014300.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc11g006670,Solyc11g006670.1,protein_coding,"ovate family protein 29 && sp|Q9FMC8|OPF13_ARATH Transcription repressor OFP13 OS=Arabidopsis thaliana OX=3702 GN=OFP13 PE=1 SV=1 && PF04844:Transcriptional repressor, ovate",-,gene-Solyc11g006670.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g098600,Solyc12g098600.1,protein_coding,Glycosyltransferase (AHRD V3.3 *** A0A2I4GJH4_9ROSI) && sp|K4CWS6|U75C1_SOLLC UDP-glycosyltransferase 75C1 OS=Solanum lycopersicum OX=4081 GN=UGT75C1 PE=1 SV=1 && PF00201:UDP-glucoronosyl and UDP-glucosyl transferase,UDPGT,gene-Solyc12g098600.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc09g011470,Solyc09g011470.3,protein_coding,Plant/T7H20-70 protein (AHRD V3.3 *-* G7L5L0_MEDTR) && - && -,-,gene-Solyc09g011470.3,,NM_001317852,Ensembl Plants BioMart,63,one_to_one
Solyc05g025600,Solyc05g025600.1,protein_coding,Photosystem II reaction center X protein (AHRD V3.3 *** A0A2G3CGE7_CAPCH) && - && PF06596:Photosystem II reaction centre X protein (PsbX),-,gene-Solyc05g025600.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc07g007750,Solyc07g007750.3,protein_coding,Defensin protein (AHRD V3.3 *** B1N678_SOLLC) && sp|P20346|DF322_SOLTU Defensin-like protein P322 OS=Solanum tuberosum OX=4113 PE=2 SV=1 && -,-,gene-Solyc07g007750.3,TGAS118,,Ensembl Plants BioMart,63,one_to_one
Solyc07g043420,Solyc07g043420.3,protein_coding,2-oxoglutarate-dependent dioxygenase 2 && sp|P24397|HY6H_HYONI Hyoscyamine 6-dioxygenase OS=Hyoscyamus niger OX=4079 GN=H6H PE=1 SV=1 && PF03171:2OG-Fe(II) oxygenase superfamily|PF14226:non-haem dioxygenase in morphine synthesis N-terminal,2OG-FeII_Oxy,gene-Solyc07g043420.3,gad2,NM_001246846,Ensembl Plants BioMart,63,one_to_one
